[rosmaster.master][INFO] 2026-03-11 22:28:28,271: +PUB [/clock] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:28,272: +SERVICE [/gazebo/spawn_sdf_model] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:28,273: +SERVICE [/gazebo/spawn_urdf_model] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:28,273: +SERVICE [/gazebo/delete_model] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:28,274: +SERVICE [/gazebo/delete_light] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:28,275: +SERVICE [/gazebo/get_model_properties] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:28,275: +SERVICE [/gazebo/get_model_state] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:28,276: +SERVICE [/gazebo/get_world_properties] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:28,277: +SERVICE [/gazebo/get_joint_properties] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:28,278: +SERVICE [/gazebo/get_link_properties] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:28,278: +SERVICE [/gazebo/get_link_state] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:28,279: +SERVICE [/gazebo/get_light_properties] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:28,279: +SERVICE [/gazebo/set_light_properties] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:28,280: +SERVICE [/gazebo/get_physics_properties] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:28,280: +PUB [/gazebo/link_states] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:28,280: +PUB [/gazebo/model_states] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:28,281: +PUB [/gazebo/performance_metrics] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:28,281: +SERVICE [/gazebo/set_link_properties] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:28,282: +SERVICE [/gazebo/set_physics_properties] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:28,283: +SERVICE [/gazebo/set_model_state] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:28,283: +SERVICE [/gazebo/set_model_configuration] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:28,284: +SERVICE [/gazebo/set_joint_properties] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:28,284: +SERVICE [/gazebo/set_link_state] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:28,286: +SUB [/gazebo/set_link_state] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:28,288: +SUB [/gazebo/set_model_state] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:28,288: +SERVICE [/gazebo/pause_physics] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:28,289: +SERVICE [/gazebo/unpause_physics] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:28,289: +SERVICE [/gazebo/apply_body_wrench] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:28,289: +SERVICE [/gazebo/apply_joint_effort] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:28,290: +SERVICE [/gazebo/clear_joint_forces] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:28,290: +SERVICE [/gazebo/clear_body_wrenches] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:28,291: +SERVICE [/gazebo/reset_simulation] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:28,291: +SERVICE [/gazebo/reset_world] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:28,306: +CACHEDPARAM [/rosout_disable_topics_generation] by /spawn_model
[rosmaster.master][INFO] 2026-03-11 22:28:28,307: +SERVICE [/gazebo/set_parameters] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:28,309: +PUB [/gazebo/parameter_descriptions] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:28,311: +PUB [/gazebo/parameter_updates] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:28,320: +PARAM [/gazebo/time_step] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:28,321: +PARAM [/gazebo/max_update_rate] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:28,322: +PARAM [/gazebo/gravity_x] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:28,322: +PARAM [/gazebo/gravity_y] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:28,323: +PARAM [/gazebo/gravity_z] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:28,324: +PARAM [/gazebo/auto_disable_bodies] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:28,324: +PARAM [/gazebo/sor_pgs_precon_iters] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:28,324: publisherUpdate[/clock] -> http://rera:33147/ ['http://rera:38799/']
[rosmaster.master][INFO] 2026-03-11 22:28:28,326: +PARAM [/gazebo/sor_pgs_iters] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:28,326: publisherUpdate[/clock] -> http://rera:34259/ ['http://rera:38799/']
[rosmaster.master][INFO] 2026-03-11 22:28:28,327: publisherUpdate[/clock] -> http://rera:40967/ ['http://rera:38799/']
[rosmaster.master][INFO] 2026-03-11 22:28:28,332: +PARAM [/gazebo/sor_pgs_w] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:28,335: +PARAM [/gazebo/sor_pgs_rms_error_tol] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:28,335: publisherUpdate[/clock] -> http://rera:33147/ ['http://rera:38799/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2026-03-11 22:28:28,337: publisherUpdate[/clock] -> http://rera:39123/ ['http://rera:38799/']
[rosmaster.master][INFO] 2026-03-11 22:28:28,337: publisherUpdate[/clock] -> http://rera:40967/ ['http://rera:38799/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-03-11 22:28:28,336: publisherUpdate[/clock] -> http://rera:34259/ ['http://rera:38799/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2026-03-11 22:28:28,339: publisherUpdate[/clock] -> http://rera:43175/ ['http://rera:38799/']
[rosmaster.master][INFO] 2026-03-11 22:28:28,339: publisherUpdate[/clock] -> http://rera:38799/ ['http://rera:38799/']
[rosmaster.master][INFO] 2026-03-11 22:28:28,338: +PARAM [/gazebo/cfm] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:28,342: publisherUpdate[/clock] -> http://rera:43175/ ['http://rera:38799/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-03-11 22:28:28,343: +PARAM [/gazebo/erp] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:28,343: publisherUpdate[/clock] -> http://rera:39123/ ['http://rera:38799/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2026-03-11 22:28:28,344: publisherUpdate[/clock] -> http://rera:38799/ ['http://rera:38799/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-03-11 22:28:28,345: +PARAM [/gazebo/contact_surface_layer] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:28,346: +PARAM [/gazebo/contact_max_correcting_vel] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:28,347: +PARAM [/gazebo/max_contacts] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:28,627: +PUB [/rosout] /joint_state_publisher_gui http://rera:36725/
[rosmaster.master][INFO] 2026-03-11 22:28:28,630: +SUB [/clock] /joint_state_publisher_gui http://rera:36725/
[rosmaster.master][INFO] 2026-03-11 22:28:28,632: +SERVICE [/joint_state_publisher_gui/get_loggers] /joint_state_publisher_gui http://rera:36725/
[rosmaster.master][INFO] 2026-03-11 22:28:28,634: +SERVICE [/joint_state_publisher_gui/set_logger_level] /joint_state_publisher_gui http://rera:36725/
[rosmaster.master][INFO] 2026-03-11 22:28:28,927: +PUB [/joint_states] /joint_state_publisher_gui http://rera:36725/
[rosmaster.master][INFO] 2026-03-11 22:28:28,945: publisherUpdate[/joint_states] -> http://rera:43175/ ['http://rera:36725/']
[rosmaster.master][INFO] 2026-03-11 22:28:28,946: publisherUpdate[/joint_states] -> http://rera:43175/ ['http://rera:36725/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-03-11 22:28:28,972: +CACHEDPARAM [/rosout_disable_topics_generation] by /joint_state_publisher_gui
[rosmaster.master][INFO] 2026-03-11 22:28:30,164: +SERVICE [/camera/set_camera_info] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:30,175: +SERVICE [/camera/set_parameters] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:30,176: +PUB [/camera/parameter_descriptions] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:30,179: +PUB [/camera/parameter_updates] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:30,181: +PARAM [/camera/imager_rate] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,183: +PARAM [/camera/imager_rate] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,185: +PUB [/camera/imu] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:30,187: +PARAM [/camera/imager_rate] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,188: +PARAM [/camera/imager_rate] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,241: +PUB [/camera/depth/image_raw/compressedDepth] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:30,242: +PUB [/camera/color/image_raw/compressedDepth] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:30,243: +SERVICE [/camera/depth/image_raw/compressedDepth/set_parameters] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:30,244: +PUB [/camera/depth/image_raw/compressedDepth/parameter_descriptions] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:30,244: +SERVICE [/camera/color/image_raw/compressedDepth/set_parameters] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:30,245: +PUB [/camera/depth/image_raw/compressedDepth/parameter_updates] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:30,245: +PUB [/camera/color/image_raw/compressedDepth/parameter_descriptions] /gazebo http://rera:38799/
