Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,8.55232726890975E-05,-0.0100119829894778,0.128146462969362,0,0,0,43.0826866003702,0.0828611343550208,9.78260603759178E-06,-0.00639839535470336,0.136405175282193,-3.57369038716547E-05,0.138372095637554,0,0,0,0,0,0,package://rebo24/meshes/base_link.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://rebo24/meshes/base_link.STL,,"GB／T95-2002平垫圈C级4×0．8-41;GB／T822-2000十字槽圆柱头螺钉M4×12-12;GB／T822-2000十字槽圆柱头螺钉M4×12-9;上顶板-2;GB／T822-2000十字槽圆柱头螺钉M4×12-10;GB／T93-1987标准型弹性垫圈(装配)4×1．1-40;GB／T93-1987标准型弹性垫圈(装配)4×1．1-39;GB／T822-2000十字槽圆柱头螺钉M4×12-11;GB／T93-1987标准型弹性垫圈(装配)4×1．1-41;GB／T6170-20001型六角螺母A级和B级M4-41;GB／T6170-20001型六角螺母A级和B级M4-40;GB／T95-2002平垫圈C级4×0．8-39;GB／T95-2002平垫圈C级4×0．8-38;GB／T95-2002平垫圈C级4×0．8-40;GB／T6170-20001型六角螺母A级和B级M4-39;GB／T822-2000十字槽圆柱头螺钉M4×12-8;GB／T93-1987标准型弹性垫圈(装配)4×1．1-37;GB／T6170-20001型六角螺母A级和B级M4-36;GB／T822-2000十字槽圆柱头螺钉M4×12-5;GB／T822-2000十字槽圆柱头螺钉M4×12-6;GB／T822-2000十字槽圆柱头螺钉M4×12-4;GB／T822-2000十字槽圆柱头螺钉M4×12-7;GB／T95-2002平垫圈C级4×0．8-37;GB／T95-2002平垫圈C级4×0．8-36;GB／T93-1987标准型弹性垫圈(装配)4×1．1-38;GB／T6170-20001型六角螺母A级和B级M4-38;GB／T93-1987标准型弹性垫圈(装配)4×1．1-36;GB／T6170-20001型六角螺母A级和B级M4-37;GB／T93-1987标准型弹性垫圈(装配)4×1．1-34;GB／T822-2000十字槽圆柱头螺钉M4×12-3;GB／T95-2002平垫圈C级4×0．8-35;GB／T95-2002平垫圈C级4×0．8-34;GB／T93-1987标准型弹性垫圈(装配)4×1．1-35;GB／T95-2002平垫圈C级4×0．8-32;GB／T6170-20001型六角螺母A级和B级M4-34;GB／T93-1987标准型弹性垫圈(装配)4×1．1-33;GB／T93-1987标准型弹性垫圈(装配)4×1．1-32;GB／T6170-20001型六角螺母A级和B级M4-33;GB／T822-2000十字槽圆柱头螺钉M3×16-8;GB／T6170-20001型六角螺母A级和B级M4-32;GB／T822-2000十字槽圆柱头螺钉M3×16-16;GB／T822-2000十字槽圆柱头螺钉M3×16-7;GB／T95-2002平垫圈C级4×0．8-33;GB／T6170-20001型六角螺母A级和B级M4-35;GB／T822-2000十字槽圆柱头螺钉M3×16-15;GB／T822-2000十字槽圆柱头螺钉M3×16-14;GB／T822-2000十字槽圆柱头螺钉M3×16-13;GB／T822-2000十字槽圆柱头螺钉M3×16-4;板连接件-26;板连接件-23;GB／T822-2000十字槽圆柱头螺钉M3×16-5;GB／T822-2000十字槽圆柱头螺钉M3×16-3;板连接件-27;板连接件-31;板连接件-29;板连接件-28;板连接件-25;GB／T822-2000十字槽圆柱头螺钉M3×16-6;GB／T822-2000十字槽圆柱头螺钉M3×16-2;板连接件-24;板连接件-16;板连接件-12;板连接件-8;摆臂电机支架-6;摆臂小带轮连接件-6;板连接件-6;垂直板-6;板连接件-5;摆臂小带轮连接件-8;板连接件-11;板连接件-22;5M20齿带轮铝-4;板连接件-10;仿真轴-4;仿真轴-3;带座壳-5;臂摄像头座-1;摄像头座2-2;仿真轴-1;M5吊钩椭圆把手-2;dm10010l仿真-2;锁杆-1;dm10010l仿真-1;摄像头壳-2;摄像头支架转接-1;仿真轴-2;后弧形保护壳-3;法兰外-10;外侧5M85齿大带轮-11;邹飞宇-新轴-2;法兰-11;法兰外-9;新车把手连接件转接板b-1;前弧形保护壳-3;邹飞宇-电机侧板-2;带座壳-4;新车把手连接件转接板-1;M5吊钩椭圆把手-1;新车摄像头保护壳-1;外侧5M85齿大带轮-10;法兰-10;邹飞宇-电机侧板-1;侧板门装配-2;零件4-1;内构变压器-1;零件2-1;侧板门装配-1;总装配体2-1;装配体2-1/大臂小臂lianjie2-1;装配体2-1/小臂管子-1;装配体2-1/管连接6-1;装配体2-1/ph17连接-1;装配体2-1/pht14-3-1;装配体2-1/大臂管子-2;装配体2-1/大臂管子-1;装配体2-1/hex nuts, style 2-grades ab gb-31;装配体2-1/hex nuts, style 2-grades ab gb-22;装配体2-1/hex nuts, style 2-grades ab gb-29;装配体2-1/hex nuts, style 2-grades ab gb-32;装配体2-1/hex nuts, style 2-grades ab gb-30;装配体2-1/新腕关节-1;装配体2-1/hex nuts, style 2-grades ab gb-33;装配体2-1/model_pp11L.stp-1;装配体2-1/model_ph17b_0726.stp-4;装配体2-1/hexagon socket button head screws gb-116;装配体2-1/hexagon socket button head screws gb-114;装配体2-1/hexagon socket button head screws gb-109;装配体2-1/hexagon socket button head screws gb-105;装配体2-1/hexagon socket button head screws gb-112;装配体2-1/hexagon socket button head screws gb-104;装配体2-1/hexagon socket button head screws gb-111;装配体2-1/hexagon socket button head screws gb-106;装配体2-1/hexagon socket button head screws gb-110;装配体2-1/pp11l垫-1;装配体2-1/hexagon socket button head screws gb-108;装配体2-1/hexagon socket button head screws gb-103;装配体2-1/hexagon socket button head screws gb-115;装配体2-1/hexagon socket button head screws gb-113;装配体2-1/hexagon socket button head screws gb-75;装配体2-1/hexagon socket button head screws gb-71;装配体2-1/hexagon socket button head screws gb-72;装配体2-1/hexagon socket button head screws gb-95;装配体2-1/hexagon socket button head screws gb-76;装配体2-1/hexagon socket button head screws gb-99;装配体2-1/hexagon socket button head screws gb-94;装配体2-1/hexagon socket button head screws gb-102;装配体2-1/hexagon socket button head screws gb-101;装配体2-1/hexagon socket button head screws gb-100;装配体2-1/hexagon socket button head screws gb-96;装配体2-1/hexagon socket button head screws gb-97;装配体2-1/hexagon socket button head screws gb-74;装配体2-1/hexagon socket button head screws gb-58;装配体2-1/hexagon socket button head screws gb-67;装配体2-1/hexagon socket button head screws gb-62;装配体2-1/hexagon socket button head screws gb-59;装配体2-1/hexagon socket button head screws gb-65;装配体2-1/hexagon socket button head screws gb-60;装配体2-1/hexagon socket button head screws gb-69;装配体2-1/hexagon socket button head screws gb-68;装配体2-1/hexagon socket button head screws gb-64;装配体2-1/hexagon socket button head screws gb-63;装配体2-1/hexagon socket button head screws gb-61;装配体2-1/hexagon socket button head screws gb-70;装配体2-1/hexagon socket button head screws gb-54;装配体2-1/hexagon socket button head screws gb-45;装配体2-1/hexagon socket button head screws gb-47;装配体2-1/hexagon socket button head screws gb-51;装配体2-1/hexagon socket button head screws gb-48;装配体2-1/hexagon socket button head screws gb-50;装配体2-1/hexagon socket button head screws gb-44;装配体2-1/hexagon socket button head screws gb-53;装配体2-1/hexagon socket button head screws gb-49;装配体2-1/hexagon socket button head screws gb-46;装配体2-1/hexagon socket button head screws gb-57;装配体2-1/hexagon socket button head screws gb-55;装配体2-1/hexagon socket button head screws gb-52;装配体2-1/hexagon socket button head screws gb-40;装配体2-1/hexagon socket button head screws gb-38;装配体2-1/ph17lianjie2-1;装配体2-1/hexagon socket button head screws gb-37;装配体2-1/hexagon socket button head screws gb-41;装配体2-1/hexagon socket button head screws gb-35;装配体2-1/hexagon socket button head screws gb-34;装配体2-1/ph17lianjie1-1;装配体2-1/hexagon socket button head screws gb-33;装配体2-1/ph17lianjie3(1)-1;装配体2-1/ph17lianjie1-3;装配体2-1/hexagon socket button head screws gb-42;装配体2-1/hexagon socket button head screws gb-39;装配体2-1/CRBTF轴承-1;装配体2-1/ph17连3-1;装配体2-1/新小臂连接-1;装配体2-1/新pht20连接-1;装配体2-1/model_ph17b_0726.stp-1;装配体2-1/ph17lian1-1;装配体2-1/ph17lianjie-1;装配体2-1/ph17连2-1;装配体2-1/轴承BK600026-8C2.5L10M8-2;装配体2-1/ph17垫片-1;装配体2-1/新小臂连接打印件-1;上顶板-3;123-1;摆臂外侧板-1-1;邹飞宇-新轴-1;model_ph14b.stp-9;摆臂总装-7;摆臂减速带-1;摆臂总装-6;摆臂总装-1;摆臂减速带-3;5M60齿摆臂减速大带轮-2;5M60齿摆臂减速大带轮-1;摆臂减速带-2;5M60齿摆臂减速大带轮-4;5M60齿摆臂减速大带轮-3;model_ph14b.stp-10;摆臂总装-5;摆臂减速带-4;主传动外轴承固定座内侧-内径53-3;主传动外轴承固定座内侧-内径53-4;主传动外轴承固定座内侧-内径53-1;5M20齿带轮铝-5;板连接件-36;主传动外轴承固定座-内径50-9;model_ph14b.stp-8;摆臂电机支架-8;板连接件-41;板连接件-40;板连接件-37;板连接件-35;板连接件-38;主传动外轴承固定座内侧-内径53-2;摆臂小带轮连接件-9;板连接件-39;垂直板-8;外侧5M85齿大带轮-9;板连接件-34;空心轴外-12;外侧5M85齿大带轮-7;6809轴承外径58-24;GB／T276-94深沟球轴承61802-2Z-12;法兰-8;法兰外-7;摆臂电机支架-7;6809轴承外径58-25;从动轴-4;空心轴外-13;model_ph14b.stp-7;6809轴承外径58-26;主动轮轴承支架-4;侧固定板-5;6809轴承外径58-23;主传动外轴承固定座-内径50-8;主传动外轴承固定座-内径50-7;垂直板-7;空心轴外-11;6809轴承外径58-22;6809轴承外径58-21;从动轴-3;法兰-6;法兰外-5;GB／T276-94深沟球轴承61802-2Z-11;GB／T6170-20001型六角螺母A级和B级M4-31;GB／T95-2002平垫圈C级4×0．8-31;GB／T822-2000十字槽圆柱头螺钉M4×12-1;GB／T93-1987标准型弹性垫圈(装配)4×1．1-30;主传动外轴承固定座-内径50-6;空心轴外-10;侧固定板-4;上顶板-1;GB／T93-1987标准型弹性垫圈(装配)4×1．1-31;GB／T95-2002平垫圈C级4×0．8-30;GB／T822-2000十字槽圆柱头螺钉M4×12-2;主动轮轴承支架-3;6809轴承外径58-12;板连接件-3;GB／T6170-20001型六角螺母A级和B级M4-30;6809轴承外径58-13;板连接件-21;5M20齿带轮铝-1;板连接件-20;板连接件-19;垂直板-3;板连接件-4;板连接件-1;GB／T822-2000十字槽圆柱头螺钉M3×16-1;板连接件-17;板连接件-2;下盖板-1;摆臂小带轮连接件-5;前后下盖板-1;前后下盖板-2;摆臂电机支架-1;5M20齿带轮铝-2;平台-4/MCP-3;平台-4/支撑-1;平台-4/LIDARP-1;平台-4/MCP-2;平台-4/CB-2;平台-4/激光雷达控制盒2-1;平台-4/IPCP-2;平台-4/WA-1;平台-4/IPC-1;平台-4/FC-1;平台-4/连接改-1;平台-4/连接改-2;平台-4/MCP-1;平台-4/MCP-4;平台-4/RS-2;平台-4/支撑2-1;平台-4/路由器连接-1;平台-4/路由器-1;平台-4/AS-1",base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_ahead_wheel,0,0.000176470588235333,0,0,0,0,0.0769061881598781,2.37401286452523E-05,-7.22022899679343E-21,1.67288056091634E-36,2.47117678131373E-05,-2.15747235162655E-22,2.37401286452523E-05,0,0,0,0,0,0,package://rebo24/meshes/left_ahead_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://rebo24/meshes/left_ahead_wheel.STL,,仿真轮-6,left_ahead_wheel,ahead_roll,left_ahead_wheel_joint,continuous,0.141499999999909,0.233000195879141,0,0,0,0,base_link,0,1,0,,,,,,,,,,,,
left_back_wheel,0,0.000176470588235333,1.73472347597681E-18,0,0,0,0.0769061881598781,2.37401286452523E-05,-9.76621483857307E-21,2.16959437076152E-36,2.47117678131373E-05,-2.15747235162684E-22,2.37401286452523E-05,0,0,0,0,0,0,package://rebo24/meshes/left_back_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://rebo24/meshes/left_back_wheel.STL,,仿真轮-5,left_back_wheel,back_roll,left_back_wheel_joint,continuous,-0.141500000000089,0.233000195879139,0,0,0,0,base_link,0,1,0,,,,,,,,,,,,
right_ahead_wheel,-1.38777878078145E-17,-0.000176470588235278,0,0,0,0,0.0769061881598782,2.37401286452524E-05,-6.45683877469619E-21,-3.01100360415287E-22,2.47117678131373E-05,4.28388872839787E-24,2.37401286452524E-05,0,0,0,0,0,0,package://rebo24/meshes/right_ahead_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://rebo24/meshes/right_ahead_wheel.STL,,仿真轮-1,right_ahead_wheel,ahead_roll,right_ahead_wheel_joint,continuous,0.141500000000031,-0.233000195879137,0,0,0,0,base_link,0,1,0,,,,,,,,,,,,
right_back_wheel,5.55111512312578E-17,-0.000176470588235278,0,0,0,0,0.0769061881598782,2.37401286452524E-05,-9.08993169383966E-21,-5.49651590874132E-22,2.47117678131373E-05,5.13355412781999E-23,2.37401286452524E-05,0,0,0,0,0,0,package://rebo24/meshes/right_back_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://rebo24/meshes/right_back_wheel.STL,,仿真轮-4,right_back_wheel,back_roll,right_back_wheel_joint,continuous,-0.14149999999997,-0.233000195879138,0,0,0,0,base_link,0,1,0,,,,,,,,,,,,
lidar,-1.2490009027033E-16,-1.16573417585641E-15,2.22044604925031E-16,0,0,0,1.96655555535767,0.00248240765947242,6.63226797699442E-20,-3.04038442387346E-16,0.00248240765947242,-2.10733077855723E-19,0.00281438681916124,0,0,0,0,0,0,package://rebo24/meshes/lidar.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://rebo24/meshes/lidar.STL,,平台-4/激光雷达-1,lidar,lidar_roll,lidar_joint,fixed,0.169999999999687,-0.00100019587911868,0.305700000000706,0,0,0,base_link,0,0,0,,,,,,,,,,,,
camera_link,-0.000329866874006227,-3.7237912406396E-07,0.000586716130506204,0,0,0,0.048201398677882,2.73914552602096E-05,-4.25989861649038E-07,7.54926375849486E-09,3.35061197625381E-06,2.11610730821827E-09,2.66521456031395E-05,0,0,0,0,0,0,package://rebo24/meshes/camera_link.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://rebo24/meshes/camera_link.STL,,平台-4/Intel Realsense D435-1,camera,sight,camera_joint,fixed,0.265499999999739,-0.000519114270499249,0.248720793604667,0,0,0,base_link,0,0,0,,,,,,,,,,,,
imu_link,5.19522064257316E-11,-1.1731134882953E-09,-0.00246765057435855,0,0,0,0.105365739619058,1.92602986407333E-05,-1.00153477604229E-20,-7.37106893453943E-18,1.92602986407333E-05,2.63013342156866E-21,2.73103643815558E-05,0,0,0,0,0,0,package://rebo24/meshes/imu_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://rebo24/meshes/imu_link.STL,,平台-4/imu-1,imu,Axis_imu_joint,imu_joint,fixed,0.169999999947848,-0.00100019470600629,0.183950000000706,0,0,0,base_link,0,0,0,,,,,,,,,,,,
